Date,Value,source,feature_code,description
2020-03-11,4.642099857330322,yahoo,DOLAR,Dólar/Real
2020-03-12,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-12,369.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-12,4.813799858093262,yahoo,DOLAR,Dólar/Real
2020-03-12,358491.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-12,4.25,bcb,SELIC,Taxa Selic
2020-03-12,855.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-13,846.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-13,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-13,4.790200233459473,yahoo,DOLAR,Dólar/Real
2020-03-13,358533.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-13,4.25,bcb,SELIC,Taxa Selic
2020-03-13,370.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-14,4.25,bcb,SELIC,Taxa Selic
2020-03-15,4.25,bcb,SELIC,Taxa Selic
2020-03-16,356767.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-16,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-16,354.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-16,4.85260009765625,yahoo,DOLAR,Dólar/Real
2020-03-16,4.25,bcb,SELIC,Taxa Selic
2020-03-16,821.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-17,344.0,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-17,824.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-17,353622.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-17,4.25,bcb,SELIC,Taxa Selic
2020-03-17,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-17,4.999000072479248,yahoo,DOLAR,Dólar/Real
2020-03-18,335.25,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-18,5.009699821472168,yahoo,DOLAR,Dólar/Real
2020-03-18,4.25,bcb,SELIC,Taxa Selic
2020-03-18,351769.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-18,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-03-18,825.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-19,3.75,bcb,SELIC,Taxa Selic
2020-03-19,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-03-19,5.103961944580078,yahoo,DOLAR,Dólar/Real
2020-03-19,349124.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-19,843.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-19,345.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-20,3.75,bcb,SELIC,Taxa Selic
2020-03-20,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-03-20,862.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-20,343.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-20,347423.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-20,5.094200134277344,yahoo,DOLAR,Dólar/Real
2020-03-21,3.75,bcb,SELIC,Taxa Selic
2020-03-22,3.75,bcb,SELIC,Taxa Selic
2020-03-23,3.75,bcb,SELIC,Taxa Selic
2020-03-23,5.045499801635742,yahoo,DOLAR,Dólar/Real
2020-03-23,884.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-23,343.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-23,346404.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-23,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-03-24,5.14169979095459,yahoo,DOLAR,Dólar/Real
2020-03-24,886.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-24,343392.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-24,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-03-24,3.75,bcb,SELIC,Taxa Selic
2020-03-24,347.25,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-25,343074.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-25,5.098100185394287,yahoo,DOLAR,Dólar/Real
2020-03-25,3.75,bcb,SELIC,Taxa Selic
2020-03-25,881.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-25,348.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-25,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-03-26,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-03-26,880.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-26,5.033699989318848,yahoo,DOLAR,Dólar/Real
2020-03-26,348.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-26,344991.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-26,3.75,bcb,SELIC,Taxa Selic
2020-03-27,345331.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-27,5.022600173950195,yahoo,DOLAR,Dólar/Real
2020-03-27,881.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-27,3.75,bcb,SELIC,Taxa Selic
2020-03-27,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-03-27,346.0,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-28,3.75,bcb,SELIC,Taxa Selic
2020-03-29,3.75,bcb,SELIC,Taxa Selic
2020-03-30,3.75,bcb,SELIC,Taxa Selic
2020-03-30,882.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-30,345547.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-30,5.104629039764404,yahoo,DOLAR,Dólar/Real
2020-03-30,341.25,yahoo,MILHO_US,Milho EUA (Futuros)
2020-03-30,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-03-31,340.75,yahoo,MILHO_US,Milho EUA (Futuros)
