Date,Value,feature_code,source,description
2020-01-29,1693.9540229885058,ENERGIA,bcb,Energia Elétrica
2020-01-29,24110.153846153844,FRETES,bcb,Índice de Fretes
2020-01-29,2264.7769230769227,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-29,16445.30769230769,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-29,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-29,599806.9846153846,PIB_BR,bcb,PIB Brasil
2020-01-29,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-29,4.5,SELIC,bcb,Taxa Selic
2020-01-29,65723.84615384616,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-29,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-30,-643.3523076923079,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-30,209240.26335877864,BALTIC_DRY,bcb,Baltic Dry Index
