Date,Value,source,feature_code
2020-07-30,5.168799877166748,yahoo,DOLAR
2020-07-30,891.75,yahoo,SOJA_US
2020-07-31,316.0,yahoo,MILHO_US
2020-07-31,5.153900146484375,yahoo,DOLAR
2020-07-31,897.5,yahoo,SOJA_US
2020-08-03,317.5,yahoo,MILHO_US
2020-08-03,5.221199989318848,yahoo,DOLAR
2020-08-03,897.5,yahoo,SOJA_US
2020-08-04,308.25,yahoo,MILHO_US
2020-08-04,5.318699836730957,yahoo,DOLAR
2020-08-04,883.75,yahoo,SOJA_US
2020-08-05,311.0,yahoo,MILHO_US
2020-08-05,882.0,yahoo,SOJA_US
2020-08-05,5.290200233459473,yahoo,DOLAR
2020-08-06,880.75,yahoo,SOJA_US
2020-08-06,311.25,yahoo,MILHO_US
2020-08-06,5.290900230407715,yahoo,DOLAR
2020-08-07,870.25,yahoo,SOJA_US
2020-08-07,307.75,yahoo,MILHO_US
2020-08-07,5.331299781799316,yahoo,DOLAR
2020-08-10,310.5,yahoo,MILHO_US
2020-08-10,5.43720006942749,yahoo,DOLAR
2020-08-10,876.5,yahoo,SOJA_US
2020-08-11,5.480500221252441,yahoo,DOLAR
2020-08-11,878.0,yahoo,SOJA_US
2020-08-11,311.5,yahoo,MILHO_US
2020-08-12,5.38040018081665,yahoo,DOLAR
2020-08-12,890.5,yahoo,SOJA_US
2020-08-12,314.5,yahoo,MILHO_US
2020-08-13,907.25,yahoo,SOJA_US
2020-08-13,325.25,yahoo,MILHO_US
2020-08-13,5.434999942779541,yahoo,DOLAR
2020-08-14,324.5,yahoo,MILHO_US
2020-08-14,5.367000102996826,yahoo,DOLAR
2020-08-14,903.5,yahoo,SOJA_US
2020-08-17,331.0,yahoo,MILHO_US
2020-08-17,5.42080020904541,yahoo,DOLAR
2020-08-17,912.5,yahoo,SOJA_US
2020-08-18,5.508299827575684,yahoo,DOLAR
2020-08-18,912.0,yahoo,SOJA_US
2020-08-18,327.0,yahoo,MILHO_US
2020-08-19,5.465400218963623,yahoo,DOLAR
2020-08-19,912.5,yahoo,SOJA_US
2020-08-19,325.0,yahoo,MILHO_US
2020-08-20,5.556399822235107,yahoo,DOLAR
2020-08-20,324.5,yahoo,MILHO_US
2020-08-20,903.0,yahoo,SOJA_US
2020-08-21,900.75,yahoo,SOJA_US
2020-08-21,5.5559000968933105,yahoo,DOLAR
2020-08-21,327.0,yahoo,MILHO_US
2020-08-24,899.75,yahoo,SOJA_US
2020-08-24,5.618599891662598,yahoo,DOLAR
2020-08-24,331.75,yahoo,MILHO_US
2020-08-25,913.75,yahoo,SOJA_US
2020-08-25,5.610599994659424,yahoo,DOLAR
2020-08-25,340.75,yahoo,MILHO_US
2020-08-26,340.5,yahoo,MILHO_US
2020-08-26,5.507400035858154,yahoo,DOLAR
2020-08-26,919.5,yahoo,SOJA_US
2020-08-27,344.25,yahoo,MILHO_US
2020-08-27,5.6072001457214355,yahoo,DOLAR
2020-08-27,937.25,yahoo,SOJA_US
2020-08-28,5.568699836730957,yahoo,DOLAR
2020-08-28,950.5,yahoo,SOJA_US
2020-08-28,346.0,yahoo,MILHO_US
2020-08-31,348.5,yahoo,MILHO_US
2020-08-31,951.25,yahoo,SOJA_US
2020-08-31,5.389999866485596,yahoo,DOLAR
2020-09-01,349.5,yahoo,MILHO_US
2020-09-01,5.490900039672852,yahoo,DOLAR
2020-09-01,955.0,yahoo,SOJA_US
2020-09-02,349.75,yahoo,MILHO_US
2020-09-02,5.397299766540527,yahoo,DOLAR
2020-09-02,962.5,yahoo,SOJA_US
2020-09-03,344.5,yahoo,MILHO_US
2020-09-03,5.338699817657471,yahoo,DOLAR
2020-09-03,968.75,yahoo,SOJA_US
2020-09-04,5.289899826049805,yahoo,DOLAR
2020-09-04,969.5,yahoo,SOJA_US
2020-09-04,347.25,yahoo,MILHO_US
2020-09-07,5.301000118255615,yahoo,DOLAR
2020-09-08,973.0,yahoo,SOJA_US
2020-09-08,351.0,yahoo,MILHO_US
2020-09-08,5.298299789428711,yahoo,DOLAR
2020-09-09,350.0,yahoo,MILHO_US
2020-09-09,5.360599994659424,yahoo,DOLAR
2020-09-09,979.75,yahoo,SOJA_US
2020-09-10,357.25,yahoo,MILHO_US
2020-09-10,5.308499813079834,yahoo,DOLAR
2020-09-10,985.0,yahoo,SOJA_US
2020-09-11,5.320499897003174,yahoo,DOLAR
2020-09-11,1005.5,yahoo,SOJA_US
2020-09-11,365.0,yahoo,MILHO_US
2020-09-14,5.316199779510498,yahoo,DOLAR
2020-09-14,1019.25,yahoo,SOJA_US
2020-09-14,357.5,yahoo,MILHO_US
2020-09-15,991.5,yahoo,SOJA_US
2020-09-15,366.0,yahoo,MILHO_US
2020-09-15,5.2683000564575195,yahoo,DOLAR
2020-09-16,1011.25,yahoo,SOJA_US
2020-09-16,371.75,yahoo,MILHO_US
2020-09-16,5.2743000984191895,yahoo,DOLAR
2020-09-17,5.236000061035156,yahoo,DOLAR
2020-09-17,1028.5,yahoo,SOJA_US
2020-09-17,375.25,yahoo,MILHO_US
2020-09-18,378.5,yahoo,MILHO_US
2020-09-18,5.237800121307373,yahoo,DOLAR
2020-09-18,1043.5,yahoo,SOJA_US
2020-09-21,5.389800071716309,yahoo,DOLAR
2020-09-21,1022.5,yahoo,SOJA_US
2020-09-21,369.75,yahoo,MILHO_US
2020-09-22,1019.75,yahoo,SOJA_US
2020-09-22,369.25,yahoo,MILHO_US
2020-09-22,5.412600040435791,yahoo,DOLAR
2020-09-23,1014.5,yahoo,SOJA_US
2020-09-23,5.469900131225586,yahoo,DOLAR
2020-09-23,368.5,yahoo,MILHO_US
2020-09-24,5.592400074005127,yahoo,DOLAR
2020-09-24,1000.0,yahoo,SOJA_US
2020-09-24,363.5,yahoo,MILHO_US
2020-09-25,1002.5,yahoo,SOJA_US
2020-09-25,5.508399963378906,yahoo,DOLAR
2020-09-25,365.25,yahoo,MILHO_US
2020-09-28,996.25,yahoo,SOJA_US
2020-09-28,5.561100006103516,yahoo,DOLAR
2020-09-28,366.75,yahoo,MILHO_US
2020-09-29,364.75,yahoo,MILHO_US
2020-09-29,5.660200119018555,yahoo,DOLAR
2020-09-29,993.0,yahoo,SOJA_US
2020-09-30,379.0,yahoo,MILHO_US
2020-09-30,5.630499839782715,yahoo,DOLAR
2020-09-30,1023.5,yahoo,SOJA_US
2020-10-01,382.75,yahoo,MILHO_US
2020-10-01,5.608399868011475,yahoo,DOLAR
2020-10-01,1023.5,yahoo,SOJA_US
2020-10-02,5.642000198364258,yahoo,DOLAR
2020-10-02,1020.75,yahoo,SOJA_US
2020-10-02,379.75,yahoo,MILHO_US
2020-10-05,1021.5,yahoo,SOJA_US
2020-10-05,379.5,yahoo,MILHO_US
2020-10-05,5.681600093841553,yahoo,DOLAR
2020-10-06,1044.0,yahoo,SOJA_US
2020-10-06,385.0,yahoo,MILHO_US
2020-10-06,5.573400020599365,yahoo,DOLAR
2020-10-07,1051.0,yahoo,SOJA_US
2020-10-07,388.75,yahoo,MILHO_US
2020-10-07,5.593800067901611,yahoo,DOLAR
2020-10-08,387.0,yahoo,MILHO_US
2020-10-08,5.611299991607666,yahoo,DOLAR
2020-10-08,1050.0,yahoo,SOJA_US
2020-10-09,395.0,yahoo,MILHO_US
2020-10-09,5.598599910736084,yahoo,DOLAR
2020-10-09,1065.5,yahoo,SOJA_US
2020-10-12,389.0,yahoo,MILHO_US
2020-10-12,5.5289998054504395,yahoo,DOLAR
2020-10-12,1033.75,yahoo,SOJA_US
2020-10-13,1044.0,yahoo,SOJA_US
2020-10-13,391.25,yahoo,MILHO_US
2020-10-13,5.529699802398682,yahoo,DOLAR
2020-10-14,1056.25,yahoo,SOJA_US
2020-10-14,396.5,yahoo,MILHO_US
2020-10-14,5.56850004196167,yahoo,DOLAR
2020-10-15,403.75,yahoo,MILHO_US
2020-10-15,5.5904998779296875,yahoo,DOLAR
2020-10-15,1062.25,yahoo,SOJA_US
2020-10-16,402.0,yahoo,MILHO_US
2020-10-16,1050.0,yahoo,SOJA_US
2020-10-16,5.611199855804443,yahoo,DOLAR
2020-10-19,5.644800186157227,yahoo,DOLAR
2020-10-19,1054.25,yahoo,SOJA_US
2020-10-19,405.25,yahoo,MILHO_US
2020-10-20,5.605599880218506,yahoo,DOLAR
2020-10-20,408.75,yahoo,MILHO_US
2020-10-20,1064.0,yahoo,SOJA_US
2020-10-21,413.75,yahoo,MILHO_US
2020-10-21,1072.0,yahoo,SOJA_US
2020-10-21,5.6041998863220215,yahoo,DOLAR
2020-10-22,1073.75,yahoo,SOJA_US
2020-10-22,5.607800006866455,yahoo,DOLAR
2020-10-22,416.25,yahoo,MILHO_US
